#C = Cell, L = Link, N = Neighbor, M = Midpoint||||||||||||
#Cell_Index||Link_Index|Cell_Zpos|CellXpos|Neighbor_Index|Neighbor_Zpos|Neighbor_Xpos|Midpoint_Zpos|Midpoint_Xpos|CellNeighbor_Distance|Cell_Distance|Neighbor_Distance
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
1|1|1-2|-3421|6409|2|1905|-9319|-758|-1455|16605.308187444|8302.6540937221|8302.6540937221
1|1|1-3|-3421|6409|3|-7744|5208|-5582.5|5808.5|4486.7282066111|2243.3641033056|2243.3641033056
1|1|1-10|-3421|6409|10|1374|10662|-1023.5|8535.5|6409.3707959518|3204.6853979759|3204.6853979759
1|1|1-22|-3421|6409|22|3205|7720|-108|7064.5|6754.4501626705|3377.2250813353|3377.2250813353
1|1|1-43|-3421|6409|43|-8204|8671|-5812.5|7540|5290.910413152|2645.455206576|2645.455206576
1|1|1-55|-3421|6409|55|-346|163|-1883.5|3286|6961.9064199399|3480.9532099699|3480.9532099699
1|1|1-93|-3421|6409|93|-7142|2139|-5281.5|4274|5663.8097602232|2831.9048801116|2831.9048801116
1|1|1-155|-3421|6409|155|-3464|10125|-3442.5|8267|3716.2487806927|1858.1243903464|1858.1243903464
1|1|1-304|-3421|6409|304|-3801|6580|-3611|6494.5|416.70253178976|208.35126589488|208.35126589488
1|1|1-881|-3421|6409|881|-3826|6021|-3623.5|6215|560.8645112681|280.43225563405|280.43225563405
1|1|1-1570|-3421|6409|1570|-2695|6234|-3058|6321.5|746.79381357909|373.39690678954|373.39690678954
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
2|2|2-1|1905|-9319|1|-3421|6409|-758|-1455|16605.308187444|8302.6540937221|8302.6540937221
2|2|2-4|1905|-9319|4|-14791|-12627|-6443|-10973|17020.554632561|8510.2773162806|8510.2773162806
2|2|2-5|1905|-9319|5|14269|279|8087|-4520|15652.159595404|7826.079797702|7826.079797702
2|2|2-12|1905|-9319|12|7017|8662|4461|-328.5|18693.552498121|9346.7762490604|9346.7762490604
2|2|2-13|1905|-9319|13|8938|-12375|5421.5|-10847|7668.2608849726|3834.1304424863|3834.1304424863
2|2|2-19|1905|-9319|19|3958|-2858|2931.5|-6088.5|6779.3310879467|3389.6655439733|3389.6655439733
2|2|2-32|1905|-9319|32|2173|-10770|2039|-10044.5|1475.5422731999|737.77113659996|737.77113659996
2|2|2-64|1905|-9319|64|-3589|-10142|-842|-9730.5|5555.3006219286|2777.6503109643|2777.6503109643
2|2|2-95|1905|-9319|95|-2611|-6561|-353|-7940|5291.5801042789|2645.7900521394|2645.7900521394
2|2|2-125|1905|-9319|125|683|-3163|1294|-6241|6276.1150403733|3138.0575201867|3138.0575201867
2|2|2-218|1905|-9319|218|5416|-9792|3660.5|-9555.5|3542.7178832077|1771.3589416039|1771.3589416039
2|2|2-866|1905|-9319|866|3142|-9245|2523.5|-9282|1239.2114428135|619.60572140677|619.60572140677
2|2|2-1335|1905|-9319|1335|2004|-10257|1954.5|-9788|943.20994481611|471.60497240805|471.60497240805
2|2|-35762|1905|-9319|1802|583|-9043|1244|-9181|1350.5036097693|675.25180488467|675.25180488467
2|2|62490|1905|-9319|2071|2216|-8702|2060.5|-9010.5|690.94862327093|345.47431163547|345.47431163547
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
3|3|3-1|-7744|5208|1|-3421|6409|-5582.5|5808.5|4486.7282066111|2243.3641033056|2243.3641033056
3|3|3-7|-7744|5208|7|-9453|6428|-8598.5|5818|2099.7811790756|1049.8905895378|1049.8905895378
3|3|3-43|-7744|5208|43|-8204|8671|-7974|6939.5|3493.4179538097|1746.7089769049|1746.7089769049
3|3|3-54|-7744|5208|54|-11767|4899|-9755.5|5053.5|4034.8494395702|2017.4247197851|2017.4247197851
3|3|3-93|-7744|5208|93|-7142|2139|-7443|3673.5|3127.4854116366|1563.7427058183|1563.7427058183
3|3|3-140|-7744|5208|140|-10847|7087|-9295.5|6147.5|3627.5680558743|1813.7840279372|1813.7840279372
3|3|3-396|-7744|5208|396|-9556|4161|-8650|4684.5|2092.73815849|1046.369079245|1046.369079245
3|3|-107321|-7744|5208|1606|-7129|4641|-7436.5|4924.5|836.48909138135|418.24454569068|418.24454569068
3|3|31837|-7744|5208|1987|-6917|5351|-7330.5|5279.5|839.27230384423|419.63615192211|419.63615192211
3|3|105617|-7744|5208|2189|-7761|5337|-7752.5|5272.5|130.11533345459|65.057666727297|65.057666727297
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
4|4|4-2|-14791|-12627|2|1905|-9319|-6443|-10973|17020.554632561|8510.2773162806|8510.2773162806
4|4|4-8|-14791|-12627|8|-23412|-1340|-19101.5|-6983.5|14202.746565365|7101.3732826827|7101.3732826827
4|4|4-9|-14791|-12627|9|-14166|2973|-14478.5|-4827|15612.515012002|7806.2575060012|7806.2575060012
4|4|4-89|-14791|-12627|89|-18726|-19827|-16758.5|-16227|8205.1340634995|4102.5670317498|4102.5670317498
4|4|4-90|-14791|-12627|90|-13616|-12689|-14203.5|-12658|1176.6346076841|588.31730384207|588.31730384207
4|4|4-116|-14791|-12627|116|-18962|-10258|-16876.5|-11442.5|4796.8116494188|2398.4058247094|2398.4058247094
4|4|4-344|-14791|-12627|344|-14951|-12185|-14871|-12406|470.06808017563|235.03404008781|235.03404008781
4|4|4-1093|-14791|-12627|1093|-15176|-13380|-14983.5|-13003.5|845.71508204596|422.85754102298|422.85754102298
4|4|-89393|-14791|-12627|1655|-14506|-13239|-14648.5|-12933|675.10665824001|337.55332912001|337.55332912001
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
5|5|5-2|14269|279|2|1905|-9319|8087|-4520|15652.159595404|7826.079797702|7826.079797702
5|5|5-12|14269|279|12|7017|8662|10643|4470.5|11084.502379449|5542.2511897243|5542.2511897243
5|5|5-13|14269|279|13|8938|-12375|11603.5|-6048|13731.106182679|6865.5530913394|6865.5530913394
5|5|5-36|14269|279|36|16469|2130|15369|1204.5|2875.1001721679|1437.550086084|1437.550086084
5|5|5-78|14269|279|78|14168|-1638|14218.5|-679.5|1919.6588238539|959.82941192693|959.82941192693
5|5|5-162|14269|279|162|11512|6218|12890.5|3248.5|6547.7301410489|3273.8650705244|3273.8650705244
5|5|5-193|14269|279|193|9107|4400|11688|2339.5|6605.2164991013|3302.6082495506|3302.6082495506
5|5|5-1210|14269|279|1210|13040|-921|13654.5|-321|1717.6847789976|858.8423894988|858.8423894988
5|5|5-1415|14269|279|1415|13074|388|13671.5|333.5|1199.9608326941|599.98041634707|599.98041634707
5|5|84128|14269|279|2130|14436|1213|14352.5|746|948.81241560174|474.40620780087|474.40620780087
5|5|140741|14269|279|2285|15067|-250|14668|14.5|957.41579264184|478.70789632092|478.70789632092
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
6|6|6-7|-7163|23056|7|-9453|6428|-8308|14742|16784.948138139|8392.4740690693|8392.4740690693
6|6|6-10|-7163|23056|10|1374|10662|-2894.5|16859|15049.638035514|7524.8190177572|7524.8190177572
6|6|6-11|-7163|23056|11|-23264|23797|-15213.5|23426.5|16118.04212676|8059.0210633798|8059.0210633798
6|6|6-47|-7163|23056|47|-9225|22390|-8194|22723|2166.887168267|1083.4435841335|1083.4435841335
6|6|6-49|-7163|23056|49|-5994|21620|-6578.5|22338|1851.6633063276|925.83165316379|925.83165316379
6|6|6-454|-7163|23056|454|-7210|23976|-7186.5|23516|921.19976118104|460.59988059052|460.59988059052
6|6|6-906|-7163|23056|906|-7969|21908|-7566|22482|1402.6902722982|701.3451361491|701.3451361491
6|6|6-1106|-7163|23056|1106|-5675|22288|-6419|22672|1674.5053000812|837.2526500406|837.2526500406
6|6|6-1249|-7163|23056|1249|-9361|23302|-8262|23179|2211.7233100006|1105.8616550003|1105.8616550003
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
7|7|7-3|-9453|6428|3|-7744|5208|-8598.5|5818|2099.7811790756|1049.8905895378|1049.8905895378
7|7|7-6|-9453|6428|6|-7163|23056|-8308|14742|16784.948138139|8392.4740690693|8392.4740690693
7|7|7-9|-9453|6428|9|-14166|2973|-11809.5|4700.5|5843.7482834222|2921.8741417111|2921.8741417111
7|7|7-11|-9453|6428|11|-23264|23797|-16358.5|15112.5|22190.671057902|11095.335528951|11095.335528951
7|7|7-43|-9453|6428|43|-8204|8671|-8828.5|7549.5|2567.3040334172|1283.6520167086|1283.6520167086
7|7|7-54|-9453|6428|54|-11767|4899|-10610|5663.5|2773.5242923039|1386.762146152|1386.762146152
7|7|7-93|-9453|6428|93|-7142|2139|-8297.5|4283.5|4871.9854269076|2435.9927134538|2435.9927134538
7|7|7-140|-9453|6428|140|-10847|7087|-10150|6757.5|1541.9199071288|770.95995356439|770.95995356439
7|7|7-1031|-9453|6428|1031|-10359|6302|-9906|6365|914.71962917607|457.35981458803|457.35981458803
7|7|7-1481|-9453|6428|1481|-8361|6831|-8907|6629.5|1163.990120233|581.99506011649|581.99506011649
7|7|7-1498|-9453|6428|1498|-8718|7201|-9085.5|6814.5|1066.6555207751|533.32776038755|533.32776038755
7|7|126192|-9453|6428|2245|-9913|5492|-9683|5960|1042.9266513039|521.46332565196|521.46332565196
