#Cell_Idx|Cell_Z|Cell_X|Master_Idx|Parent_Idx|Tier
#C_Idx|C_Z|C_X|M_Idx|P_Idx|Tier
1|-3421|6409|0|0|1
2|1905|-9319|0|0|1
3|-7744|5208|0|0|1
4|-14791|-12627|0|0|1
5|14269|279|0|0|1
6|-7163|23056|0|0|1
7|-9453|6428|0|0|1
8|-23412|-1340|0|0|1
9|-14166|2973|0|0|1
10|1374|10662|0|0|1
11|-23264|23797|0|0|1
12|7017|8662|0|0|1
13|8938|-12375|0|0|1
#
14|-9619|-11276|4|4|2
15|14903|-17764|13|13|2
16|-6761|-12531|4|4|2
17|17323|14676|12|12|2
18|2227|12385|10|10|2
19|3958|-2858|2|2|2
20|12962|12918|12|12|2
21|19989|23365|12|12|2
22|3205|7720|10|10|2
23|20835|-288|5|5|2
24|2285|-15339|2|2|2
25|-3588|19548|6|6|2
26|9837|5687|12|12|2
27|16436|-22265|13|13|2
28|7205|-22805|13|13|2
29|3281|14204|10|10|2
30|-10034|-21560|4|4|2
31|-12771|-11335|4|4|2
32|2173|-10770|2|2|2
33|6432|7227|12|12|2
34|16083|9400|12|12|2
35|19273|-9331|13|13|2
36|16469|2130|5|5|2
37|-3938|-12459|2|2|2
38|19344|5323|5|5|2
39|-10444|-14610|4|4|2
40|7863|6618|12|12|2
41|6416|8545|12|12|2
42|17934|-22249|13|13|2
43|-8204|8671|7|7|2
44|-2840|-21328|2|2|2
45|-13001|20813|6|6|2
46|-13522|3878|9|9|2
47|-9225|22390|6|6|2
48|1573|17143|10|10|2
49|-5994|21620|6|6|2
50|-12402|3313|9|9|2
51|20861|-15115|13|13|2
52|8412|-8179|13|13|2
53|-13054|-10148|4|4|2
54|-11767|4899|7|7|2
55|-346|163|1|1|2
56|-22357|-7935|8|8|2
57|11101|10580|12|12|2
58|7603|-10059|13|13|2
59|20106|12444|5|5|2
60|-22621|4707|8|8|2
61|5240|18825|10|10|2
62|7795|-6589|13|13|2
63|-14865|8835|9|9|2
64|-3589|-10142|2|2|2
65|16123|-20646|13|13|2
66|10567|8753|12|12|2
67|1642|-22332|13|13|2
68|16809|6837|5|5|2
69|4070|20568|10|10|2
70|-12104|-22345|4|4|2
71|20872|-3072|5|5|2
72|-20860|7089|9|9|2
73|18186|9411|5|5|2
74|8487|21009|12|12|2
75|-75|-19226|2|2|2
76|11697|17068|12|12|2
77|21524|-13676|13|13|2
78|14168|-1638|5|5|2
79|8819|14206|12|12|2
80|19440|18474|12|12|2
81|-4823|-11484|2|2|2
82|22887|1102|5|5|2
83|-234|-12979|2|2|2
84|10340|-20756|13|13|2
85|10232|-12176|13|13|2
86|8945|-993|5|5|2
87|-7973|-3561|3|3|2
88|-2876|-5143|2|2|2
89|-18726|-19827|4|4|2
90|-13616|-12689|4|4|2
91|-11229|-20175|4|4|2
92|19947|15031|12|12|2
93|-7142|2139|3|3|2
94|23242|-21548|13|13|2
95|-2611|-6561|2|2|2
96|3572|-601|2|2|2
97|-11244|11904|7|7|2
98|-18407|20312|11|11|2
99|-22318|-8987|8|8|2
100|-22427|-16834|4|4|2
101|19218|-16666|13|13|2
102|4153|2021|12|12|2
103|11010|-2147|5|5|2
104|-5739|-19921|4|4|2
105|-13226|634|9|9|2
106|12839|-6844|13|13|2
107|21910|6085|5|5|2
108|-9777|-17651|4|4|2
109|13890|16197|12|12|2
110|12712|16661|12|12|2
111|677|-13445|2|2|2
112|19325|18581|12|12|2
113|-11259|-13272|4|4|2
114|-13784|-5073|4|4|2
115|-10651|9684|7|7|2
116|-18962|-10258|4|4|2
117|-5918|16166|6|6|2
118|4279|11798|10|10|2
119|5241|9348|12|12|2
120|8306|-20713|13|13|2
121|7206|-15316|13|13|2
122|-3894|-15146|2|2|2
123|-20154|-12164|4|4|2
124|10798|17905|12|12|2
125|683|-3163|2|2|2
126|2130|19296|10|10|2
127|8406|-22571|13|13|2
128|14141|22181|12|12|2
129|17758|16671|12|12|2
130|-22220|-19503|4|4|2
131|18648|104|5|5|2
132|-10530|14658|7|7|2
133|-839|16070|10|10|2
134|7174|-2969|5|5|2
135|17532|-12036|13|13|2
136|-19704|-7542|4|4|2
137|3901|8668|12|12|2
138|939|12436|10|10|2
139|5540|-13960|13|13|2
140|-10847|7087|7|7|2
141|13530|-6280|5|5|2
142|6846|3239|12|12|2
143|4195|-20927|13|13|2
144|-11235|-1141|9|9|2
145|-13898|15892|6|6|2
146|-2751|-3304|2|2|2
147|8655|-6389|13|13|2
148|10383|6719|12|12|2
149|5846|-13701|13|13|2
150|-19719|2506|8|8|2
151|1095|-973|2|2|2
152|-20124|-7851|4|4|2
153|10708|-22015|13|13|2
154|9935|17021|12|12|2
